"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"MAPK12",9,10,11,67,89,130,68,76,156,70
"MAPK13",424,401,431,954,855,1385,1470,1364,1094,956
"MAPK14",194,223,193,810,804,1612,1694,1149,1734,1038
"MAPK15",4,7,8,27,11,20,18,9,2,22
"MAPK1IP1L",126,137,161,809,906,993,1037,1158,1434,1349
"MAPK3",138,189,168,765,908,1554,1646,1518,1382,1737
"MAPK4",8,3,3,15,34,3,1,15,24,3
"MAPK6",81,123,125,528,710,1206,1702,1228,1554,1735
"MAPK7",29,44,29,286,467,454,211,350,508,249
"MAPK8",155,145,119,556,529,785,637,555,850,669
"MAPK8IP1",335,196,202,261,356,136,101,75,204,114
"MAPK8IP2",9,20,10,74,105,90,28,31,46,66
"MAPK8IP3",111,120,125,379,395,721,526,471,516,530
"MAPK9",509,617,530,919,888,1025,895,1154,869,834
"MAPKAP1",400,341,329,980,1102,1351,1519,1454,1724,1622
"MAPKAPK2",341,292,254,1345,1833,2838,1855,2240,3253,4301
"MAPKAPK3",353,403,399,745,643,773,1980,801,748,764
"MAPKAPK5",101,112,98,352,342,423,480,407,452,486
"MAPKAPK5-AS1",95,87,94,326,272,371,336,370,415,368
"MAPKBP1",56,46,45,178,232,414,277,220,498,319
"MAPRE1",400,361,369,1834,1767,3289,3460,3133,3784,3721
"MAPRE2",167,201,169,1140,1109,1934,1211,944,1252,1229
"MAPRE3",37,41,27,181,323,296,261,332,275,310
"MAPT",3,9,4,19,20,30,7,41,23,3
"MAPT-AS1",0,0,0,0,0,0,0,0,0,0
"MAPT-IT1",0,0,0,0,0,0,0,0,0,0
"MARC1",37,74,46,73,131,89,103,88,197,161
"MARC2",144,208,214,378,385,416,319,309,303,481
"MARCH1",26,27,36,601,334,684,856,243,791,610
"MARCH10",1,0,0,5,7,9,6,7,7,19
"MARCH11",13,11,8,7,3,1,0,0,1,1
"MARCH2",58,71,67,411,438,673,567,601,859,643
"MARCH3",22,21,20,162,248,253,59,191,327,165
"MARCH4",3,4,5,26,93,48,46,11,27,5
"MARCH5",139,145,124,448,516,617,579,735,888,1080
"MARCH6",494,518,526,1414,1730,2156,1389,2953,2523,2164
"MARCH7",170,250,261,1244,1348,1955,2068,1338,1931,1661
