"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"SH2B3",172,114,128,513,1002,1111,934,475,1312,1511
"SH2D1A",3,0,3,89,154,49,71,9,225,53
"SH2D1B",1,0,1,4,5,5,6,3,23,7
"SH2D2A",2,2,3,38,61,44,55,47,104,152
"SH2D3A",70,72,73,259,235,618,565,315,248,268
"SH2D3C",20,30,25,224,267,312,204,86,321,192
"SH2D4A",127,178,171,470,541,608,1204,287,251,1281
"SH2D4B",0,0,0,0,2,4,0,3,5,3
"SH2D5",0,0,0,1,1,3,1,5,2,4
"SH2D6",0,1,0,10,13,2,2,0,0,1
"SH2D7",1,1,0,21,13,2,1,1,3,3
"SH3BGR",80,42,68,82,86,69,129,143,96,128
"SH3BGRL",560,641,832,4182,3367,4578,7080,3719,5439,4942
"SH3BGRL2",244,382,297,1083,1209,1489,985,1264,1239,462
"SH3BGRL3",235,208,224,1178,1652,3457,5079,3985,3947,5139
"SH3BP1",20,10,18,111,209,298,230,175,276,339
"SH3BP2",97,103,103,513,691,891,877,874,1033,907
"SH3BP4",583,729,746,1563,1724,2569,1693,1702,1535,2079
"SH3BP5",67,98,89,649,935,887,1270,899,1900,792
"SH3BP5-AS1",73,94,105,644,876,713,1127,824,1585,671
"SH3BP5L",112,127,93,385,382,851,591,458,627,672
"SH3D19",255,209,242,1499,2735,2470,2624,1870,4326,2040
"SH3D21",2,0,2,20,37,71,175,89,77,176
"SH3GL1",226,186,182,584,796,1573,1217,1182,1670,982
"SH3GL1P1",0,0,0,3,2,3,4,2,1,1
"SH3GL1P2",1,0,1,0,0,0,0,0,0,0
"SH3GL2",11,19,14,111,117,61,1,6,10,6
"SH3GL3",0,1,0,6,10,3,0,2,0,0
"SH3GLB1",518,545,469,1754,2154,2992,3983,2597,4113,3508
"SH3GLB2",305,364,270,579,596,471,742,834,567,701
"SH3KBP1",66,78,56,637,984,1557,1833,1294,1954,2602
"SH3PXD2A",140,109,111,1789,2198,7190,6663,5293,11122,5343
"SH3PXD2A-AS1",0,0,0,2,16,18,103,38,44,41
"SH3PXD2B",144,148,104,591,861,1818,2020,2099,4883,2228
"SH3RF1",106,103,101,557,694,1143,987,912,903,1432
"SH3RF2",38,76,59,109,129,225,433,247,98,248
"SH3RF3",25,20,13,219,249,376,237,334,483,227
"SH3RF3-AS1",4,2,0,42,59,75,48,67,141,59
"SH3TC1",85,87,58,301,298,348,369,434,814,731
"SH3TC2",2,3,5,10,42,58,208,99,140,27
"SH3YL1",988,1283,1259,2211,1295,1262,1296,989,646,1232
"SHANK1",2,0,0,7,11,32,26,16,29,18
"SHANK2",93,121,99,211,308,374,158,176,189,278
"SHANK2-AS1",0,0,0,0,0,0,0,0,0,0
"SHANK2-AS3",0,0,0,0,0,0,0,0,0,0
"SHANK3",39,46,38,231,363,462,224,181,603,305
"SHARPIN",146,160,193,473,442,798,686,811,668,675
"SHB",115,175,142,500,823,527,778,638,638,1757
"SHBG",1,1,1,1,1,2,2,4,1,2
"SHC1",282,289,228,1224,1926,2707,2467,2297,4214,4150
"SHC2",457,400,324,595,610,459,381,437,393,589
"SHC3",85,20,77,99,164,48,55,89,124,30
"SHC4",3,3,2,12,35,69,42,25,68,81
"SHCBP1",20,6,2,39,52,126,210,160,97,151
"SHCBP1L",0,0,0,2,0,0,1,0,0,0
"SHD",0,0,0,0,0,0,0,1,9,2
"SHE",27,30,26,157,286,247,110,54,337,163
"SHF",5,11,13,50,64,222,448,123,288,119
"SHFM1",465,394,369,1284,1396,2527,2506,3482,2109,2740
"SHH",0,4,0,18,46,101,56,136,69,49
"SHISA2",2,2,2,94,96,929,361,526,427,295
"SHISA3",0,1,0,21,56,50,16,15,40,55
"SHISA4",59,43,29,158,168,386,295,268,383,373
"SHISA5",202,243,234,1266,1646,1950,2519,2769,2736,2391
"SHISA6",3,7,2,27,155,62,60,56,53,43
"SHISA7",0,3,0,1,2,2,1,1,1,0
"SHISA8",1,0,0,0,1,0,1,1,3,0
"SHISA9",12,5,2,15,29,27,7,7,6,6
"SHKBP1",122,123,111,396,380,1327,874,895,1257,733
"SHMT1",47,64,54,262,288,259,139,319,255,252
"SHMT2",738,642,670,989,749,1296,1147,1325,1247,1104
"SHOC2",216,288,247,1153,978,1609,1349,972,1633,1565
"SHOX",0,0,0,0,0,0,0,0,0,0
"SHOX2",0,1,2,4,6,19,159,19,180,106
"SHPK",98,103,57,166,171,163,186,159,208,135
"SHPRH",59,102,122,385,311,487,380,213,448,224
"SHQ1",76,90,82,263,231,301,349,275,314,223
"SHROOM1",32,44,33,200,258,314,210,231,208,456
"SHROOM2",30,52,44,124,119,237,188,63,350,59
"SHROOM3",109,100,82,1045,1257,1311,1688,1782,1368,2463
"SHROOM4",7,17,10,127,156,295,252,156,612,245
"SI",0,0,0,1,1,1,1,3002,232,2
"SIAE",365,289,371,725,1204,903,1008,1976,700,2146
"SIAH1",76,95,74,434,436,581,500,663,690,563
"SIAH2",111,134,96,294,340,439,469,461,562,675
"SIAH3",0,0,0,2,2,6,3,1,8,2
"SIDT1",16,17,15,123,158,177,109,72,223,214
"SIDT2",970,1173,942,946,824,1007,930,782,1077,675
"SIGIRR",171,150,151,429,429,421,464,685,470,251
"SIGLEC1",15,15,5,382,278,209,516,201,766,649
"SIGLEC10",10,9,4,130,99,240,192,323,577,413
"SIGLEC11",93,408,72,233,46,87,26,15,14,21
"SIGLEC12",2,1,1,0,46,188,61,101,34,276
"SIGLEC14",6,0,1,24,0,0,78,0,0,0
"SIGLEC15",1,0,0,4,13,12,25,5,24,16
"SIGLEC16",5,8,2,15,4,8,2,1,3,1
"SIGLEC17P",0,3,4,64,24,32,15,33,24,8
"SIGLEC5",4,2,3,21,23,106,42,37,70,108
"SIGLEC6",3,0,2,28,34,21,25,43,34,13
"SIGLEC7",7,3,2,125,54,194,146,81,208,178
"SIGLEC8",2,6,6,137,31,86,81,50,225,329
"SIGLEC9",7,1,3,97,55,209,169,109,176,151
"SIGLECL1",0,0,0,1,0,0,0,0,0,0
"SIGMAR1",223,245,173,542,855,743,796,1559,814,1317
"SIK1",108,61,550,512,1577,677,637,1687,2461,2099
"SIK2",208,187,168,436,710,800,684,723,1158,669
"SIK3",151,172,144,459,557,561,463,433,844,471
"SIKE1",118,111,129,513,576,719,873,619,765,639
"SIL1",712,588,713,1199,1019,994,765,739,944,1316
"SIM1",11,4,12,66,2,75,0,5,3,2
"SIM2",3,3,7,9,30,88,27,107,178,66
"SIMC1",19,15,16,81,99,134,96,139,101,134
"SIN3A",162,207,193,888,882,1245,1060,977,1125,1085
"SIN3B",77,90,91,391,427,619,553,585,856,683
"SIPA1",61,60,68,519,669,953,677,915,1289,883
"SIPA1L1",173,203,190,848,1016,1355,991,1774,1344,1307
"SIPA1L2",61,46,63,523,608,1024,549,492,1209,1664
"SIPA1L3",99,134,122,372,615,1327,785,888,1516,1317
"SIRPA",123,104,102,1066,916,1816,1409,926,2114,1791
"SIRPB1",1,1,3,26,63,520,195,19,93,224
"SIRPB2",6,0,2,54,44,392,141,54,118,143
"SIRPD",0,0,0,0,1,14,4,0,3,0
"SIRPG",2,0,2,35,32,37,47,3,55,31
"SIRT1",106,116,101,453,617,534,383,379,809,563
"SIRT2",148,191,156,589,601,916,650,725,1001,754
"SIRT3",96,108,93,250,307,257,317,451,360,280
"SIRT4",15,10,2,38,23,20,20,16,9,17
"SIRT5",73,77,95,294,274,316,285,319,224,238
"SIRT6",52,60,59,159,143,371,254,185,212,198
"SIRT7",51,38,67,155,208,442,382,281,335,352
"SIT1",0,5,6,51,92,69,47,7,132,46
"SIVA1",425,487,358,742,678,851,633,1126,737,782
"SIX1",1,1,1,0,8,13,128,10,85,97
"SIX2",40,39,52,46,47,39,9,7,26,13
"SIX3",3,2,0,17,1,4,0,2,0,3
"SIX3-AS1",1,0,2,8,5,6,0,0,0,2
"SIX4",19,21,22,62,50,79,252,132,166,127
"SIX5",146,218,205,292,275,440,221,348,372,207
"SIX6",1,0,0,0,0,1,0,0,0,1
"SKA1",6,9,4,9,26,27,30,22,17,35
"SKA2",75,92,118,465,548,633,751,662,693,524
"SKA3",1,4,0,14,18,60,126,112,64,46
"SKAP1",33,23,28,136,156,96,52,424,178,362
"SKAP2",72,66,96,938,1135,2175,2136,2270,2847,2035
"SKI",86,119,89,528,1194,2259,1246,1299,2640,1495
"SKIDA1",10,26,22,26,22,14,8,4,8,10
"SKIL",73,76,75,1093,1333,3522,2656,2372,4189,4813
"SKINTL",0,0,0,4,5,0,1,0,0,0
"SKIV2L",0,0,0,0,0,0,0,0,0,0
"SKIV2L2",433,467,473,1659,1725,1808,1731,1283,2023,2039
"SKOR1",0,0,1,2,4,4,0,2,2,5
"SKOR2",0,0,0,10,0,9,0,0,25,13
"SKP1",898,936,998,4595,4210,6885,5360,5330,5512,7295
"SKP1P2",1,1,3,7,7,11,8,15,12,13
"SKP2",33,39,30,136,159,182,141,358,224,224
"SLA",51,23,30,561,365,899,800,1096,2625,957
"SLA2",6,7,6,57,66,72,75,26,115,65
"SLAIN1",42,52,58,182,207,149,108,81,96,33
"SLAIN2",174,190,197,682,805,1153,1217,1103,1315,1198
"SLAMF1",0,1,0,87,69,40,37,10,103,28
"SLAMF6",4,6,7,116,127,210,136,90,608,220
"SLAMF7",16,28,23,539,514,405,323,243,1027,746
"SLAMF8",12,13,15,434,205,437,780,543,1128,619
"SLAMF9",2,1,2,3,0,14,46,40,10,7
"SLBP",112,129,146,508,533,666,919,883,873,1135
"SLC10A1",0,0,0,0,3,0,0,1,1,1
"SLC10A2",0,0,0,1,0,0,0,31,2,0
"SLC10A3",72,107,84,447,408,743,673,564,684,741
"SLC10A4",2,6,2,3,9,2,3,1,0,3
"SLC10A5",7,6,5,14,10,14,17,3,9,5
"SLC10A6",3,1,0,2,20,12,6,4,46,16
"SLC10A7",53,56,59,271,284,269,357,235,290,365
"SLC11A1",12,9,9,80,46,593,959,518,319,593
"SLC11A2",335,410,302,1017,1175,1171,1265,1617,1234,1913
"SLC12A1",1,2,0,5,35,1,2,1,0,0
"SLC12A2",149,134,154,935,3364,4559,512,2454,1086,5408
"SLC12A3",7,1,6,4,3,3,3,0,5,2
"SLC12A4",177,136,136,527,633,992,744,970,906,818
"SLC12A5",2,2,5,7,18,13,10,5,15,6
"SLC12A6",150,131,143,601,803,1569,982,851,1412,1197
"SLC12A7",238,131,205,945,1102,2407,991,2477,1902,2342
"SLC12A8",90,115,119,225,212,635,747,526,1111,1057
"SLC12A9",100,90,71,270,353,818,499,652,614,565
"SLC13A1",0,2,0,3,2,0,0,1,0,0
"SLC13A2",0,0,0,12,163,32,7,42,0,304
"SLC13A3",46,63,52,67,66,85,62,45,67,31
"SLC13A4",1,1,1,3,3,7,3,1,2,2
"SLC13A5",0,1,0,3,5,59,381,9,85,1
"SLC14A1",46,41,31,376,113,43,17,18,18,13
"SLC14A2",0,0,0,4,2,2,2,2,6,2
"SLC15A1",69,64,51,212,59,325,354,68,185,352
"SLC15A2",26,51,49,228,164,425,20,281,140,38
"SLC15A3",44,32,53,657,406,1273,932,584,1220,1530
"SLC15A4",68,75,61,491,388,715,778,582,651,888
"SLC15A5",0,0,0,0,0,0,1,0,1,0
"SLC16A1",69,56,53,363,672,668,1636,2060,1079,1249
"SLC16A1-AS1",0,0,1,2,7,17,12,13,14,10
"SLC16A10",304,359,333,121,172,18,83,121,99,140
"SLC16A11",5,3,3,23,21,4,9,9,9,0
"SLC16A12",185,777,628,739,512,90,7,4,26,9
"SLC16A13",2,4,4,30,26,26,56,62,78,42
"SLC16A14",21,15,8,212,276,253,73,83,167,153
"SLC16A2",43,54,51,377,790,739,439,368,813,1608
"SLC16A3",39,14,16,357,398,2151,4090,3383,1686,2865
"SLC16A4",10,14,5,183,367,791,796,427,547,1185
"SLC16A5",12,12,9,107,150,142,753,217,120,296
"SLC16A6",1,0,5,29,34,57,110,79,185,268
"SLC16A7",132,200,266,1131,997,660,708,301,585,399
"SLC16A8",2,1,1,3,6,18,14,6,12,4
"SLC16A9",21,47,18,111,114,105,32,48,94,76
"SLC17A1",1,0,0,4,2,1,0,0,0,0
"SLC17A2",1,0,0,0,0,0,0,0,0,0
"SLC17A3",0,0,0,2,2,1,0,0,1,1
"SLC17A4",72,80,66,549,135,141,16,47,6,2
"SLC17A5",141,194,148,607,689,1246,781,725,834,1057
"SLC17A6",0,2,4,18,10,8,0,0,1,0
"SLC17A7",5,5,5,31,57,30,17,42,47,10
"SLC17A8",0,0,0,0,0,1,0,1,0,2
"SLC17A9",2,8,1,91,56,149,199,67,98,357
"SLC18A1",0,0,0,1,0,2,0,0,2,2
"SLC18A2",13,47,49,224,530,201,234,273,384,617
"SLC18A3",1,3,0,1,12,0,0,0,0,0
"SLC18B1",81,105,106,528,470,534,305,281,596,476
"SLC19A1",36,29,17,81,76,157,120,133,144,163
"SLC19A2",60,78,117,261,468,302,308,408,1370,671
"SLC19A3",10,30,20,185,160,69,139,33,198,103
"SLC1A1",31,43,31,436,517,753,1592,320,262,1406
"SLC1A2",252,219,321,408,531,25,17,1,67,11
"SLC1A3",26,30,17,638,204,369,662,505,1718,882
"SLC1A4",336,356,383,581,523,661,353,533,547,737
"SLC1A5",344,170,404,741,657,1315,1214,1775,1882,1526
"SLC1A6",2,11,0,0,4,0,0,0,0,0
"SLC1A7",0,2,6,57,33,49,29,56,51,32
"SLC20A1",47,49,47,447,606,1121,1373,1101,1582,2307
"SLC20A2",354,480,343,818,668,1177,1206,661,1503,1010
"SLC22A1",1,1,5,5,6,5,1,6,3,4
"SLC22A10",0,0,0,0,0,0,0,0,0,0
"SLC22A11",2,1,0,16,5,22,7,9,7,4
"SLC22A12",0,0,0,0,0,0,0,0,0,0
"SLC22A13",0,1,0,1,0,2,3,0,2,1
"SLC22A14",0,0,0,0,2,2,2,0,1,0
"SLC22A15",27,30,24,129,153,190,141,137,140,243
"SLC22A16",4,0,1,2,4,0,18,8,8,36
"SLC22A17",131,179,130,561,578,484,295,286,420,207
"SLC22A18",13,24,32,166,182,315,411,840,210,379
"SLC22A18AS",2,4,4,26,52,106,140,221,85,147
"SLC22A2",1,0,0,5,6,3,3,39,6,3
"SLC22A20",0,0,1,4,6,2,13,3,13,5
"SLC22A23",256,338,337,400,508,369,357,375,464,480
"SLC22A24",0,0,0,0,0,0,0,0,0,0
"SLC22A25",0,0,0,1,0,1,0,0,0,0
"SLC22A3",0,4,4,54,96,405,263,690,573,351
"SLC22A31",217,146,269,198,4,6,0,1,1,9
"SLC22A4",3,4,7,31,47,51,47,32,39,74
"SLC22A5",63,47,57,221,166,236,118,150,145,201
"SLC22A6",0,0,0,0,0,0,0,0,0,0
"SLC22A7",0,0,0,0,1,0,0,2,0,0
"SLC22A8",0,0,0,0,0,0,0,0,0,0
"SLC22A9",2,0,4,5,4,21,0,7,3,0
"SLC23A1",3,9,11,28,17,12,15,7,3,41
"SLC23A2",112,137,100,614,793,878,540,604,977,766
"SLC23A3",0,2,0,12,2,12,38,10,6,10
"SLC24A1",26,44,28,167,226,268,298,301,355,214
"SLC24A2",0,1,0,10,18,66,64,107,61,62
"SLC24A3",9,13,6,187,240,901,275,679,433,366
"SLC24A4",6,1,0,17,25,220,60,8,40,28
"SLC24A5",19,25,29,72,56,41,31,76,29,77
"SLC25A1",192,183,166,391,609,712,683,872,701,914
"SLC25A10",118,113,94,160,234,240,271,288,131,145
"SLC25A11",124,116,141,561,500,743,533,732,767,631
"SLC25A12",54,53,33,341,444,746,508,481,713,779
"SLC25A13",99,102,129,359,370,689,676,676,684,584
"SLC25A14",26,28,23,125,107,155,170,139,184,135
"SLC25A15",213,194,215,269,233,209,238,275,281,258
"SLC25A16",74,61,55,140,200,170,184,195,266,202
"SLC25A17",97,96,98,315,360,467,568,375,359,451
"SLC25A18",2,2,1,10,17,16,3,3,15,3
"SLC25A19",27,32,21,178,107,282,416,245,150,382
"SLC25A2",0,0,0,0,4,0,0,1,0,0
"SLC25A20",251,228,219,377,476,435,575,447,510,686
"SLC25A21",33,24,41,86,50,59,20,18,38,14
"SLC25A21-AS1",31,38,35,91,79,49,16,36,40,14
"SLC25A22",294,273,297,302,358,205,319,190,233,246
"SLC25A23",155,170,146,458,666,724,630,572,609,648
"SLC25A24",111,126,133,955,997,1906,2126,1590,1579,1991
"SLC25A25",99,82,191,240,864,423,374,488,1014,1007
"SLC25A26",165,140,169,393,451,402,490,729,463,348
"SLC25A27",14,18,33,154,55,48,44,31,36,21
"SLC25A28",100,115,102,345,401,339,279,288,427,504
"SLC25A29",70,62,47,370,367,421,292,358,313,357
"SLC25A3",1897,1886,2132,5079,4651,5981,6334,5131,5857,6072
"SLC25A30",79,125,127,604,509,619,501,321,554,456
"SLC25A30-AS1",2,4,6,19,18,30,21,10,8,21
"SLC25A31",0,0,0,0,0,0,0,0,1,0
"SLC25A32",74,78,84,360,516,587,592,500,810,763
"SLC25A33",24,44,28,75,160,176,95,184,302,366
"SLC25A34",112,63,94,66,93,44,26,10,28,15
"SLC25A35",28,27,25,272,189,311,250,309,325,259
"SLC25A36",338,331,434,1341,839,1041,1320,882,992,897
"SLC25A37",117,126,68,240,233,246,323,279,207,601
"SLC25A38",285,285,305,522,429,416,500,533,502,339
"SLC25A39",631,480,513,884,1087,1556,1460,3615,1340,1693
"SLC25A3P1",0,0,0,0,0,0,0,0,0,0
"SLC25A4",192,182,221,520,500,469,476,507,471,582
"SLC25A40",51,64,79,341,290,403,413,330,418,426
"SLC25A41",1,0,0,0,1,0,5,2,1,2
"SLC25A42",59,78,56,117,149,108,122,133,149,99
"SLC25A43",43,101,71,275,288,445,584,352,585,723
"SLC25A44",78,59,56,257,384,537,406,316,642,712
"SLC25A45",140,153,135,137,151,79,41,49,94,48
"SLC25A46",180,167,162,501,524,888,932,549,727,817
"SLC25A47",2,2,2,4,2,2,2,4,0,2
"SLC25A48",0,11,2,2,5,1,12,9,2,3
"SLC25A5",4253,4993,4828,4989,3426,4674,3957,6756,4512,4943
"SLC25A5-AS1",964,1113,1084,1198,727,1020,938,1365,954,990
"SLC25A51",44,36,28,158,125,109,161,86,125,220
"SLC25A51P1",0,0,0,0,0,0,0,0,0,0
"SLC25A52",0,0,1,0,0,0,1,0,0,3
"SLC25A53",13,6,5,41,44,41,43,14,50,20
"SLC25A6",0,0,0,4,0,2,4,6,2,4
"SLC26A1",19,19,18,47,52,77,69,84,74,64
"SLC26A10",1,0,1,14,8,34,29,30,27,29
"SLC26A11",38,39,47,182,178,172,104,87,189,171
"SLC26A2",111,143,105,494,553,938,706,787,1052,833
"SLC26A3",0,0,0,0,3,0,1,89,3,2
"SLC26A4",7,6,6,19,36,11,3,3,16,10
"SLC26A4-AS1",1,0,0,3,1,0,3,1,2,0
"SLC26A5",1,1,0,5,1,12,2,2,2,8
"SLC26A6",66,39,53,106,116,110,172,216,134,172
"SLC26A7",6,7,9,71,23,19,91,7,17,20
"SLC26A8",1,2,0,1,4,9,2,2,3,3
"SLC26A9",21,74,54,70,566,987,34,185,224,647
"SLC27A1",94,99,71,374,409,396,420,424,473,955
"SLC27A2",91,71,66,73,102,43,23,237,45,245
"SLC27A3",64,106,90,255,280,547,260,214,316,225
"SLC27A4",102,88,76,226,283,322,646,524,403,659
"SLC27A5",52,44,42,81,88,68,48,108,73,43
"SLC27A6",0,3,1,6,8,6,3,5,6,1
"SLC28A1",3,0,0,0,2,3,1,3,2,0
"SLC28A2",4,15,1,1,36,0,271,0,0,1
"SLC28A3",111,98,156,571,411,447,99,281,171,300
"SLC29A1",608,822,700,2122,1452,2920,2640,1566,1402,2520
"SLC29A2",33,53,45,86,79,131,107,268,89,59
"SLC29A3",45,42,43,252,137,240,259,228,311,337
"SLC29A4",40,75,42,204,234,144,51,55,77,39
"SLC2A1",35,22,22,160,350,1586,5874,8420,2369,3987
"SLC2A1-AS1",0,0,0,4,4,11,32,38,4,11
"SLC2A10",278,296,234,408,564,905,819,635,1062,730
"SLC2A11",188,160,137,134,203,136,163,149,135,124
"SLC2A12",18,27,32,145,149,368,83,142,301,118
"SLC2A13",74,102,101,403,487,405,584,523,427,426
"SLC2A14",14,5,17,19,47,6,22,4,8,26
"SLC2A2",11,16,71,359,114,23,26,18,0,1
"SLC2A3",90,27,85,797,1772,716,1956,1954,1282,1951
"SLC2A4",2,5,3,5,20,15,4,8,30,12
"SLC2A4RG",173,189,170,343,579,644,543,854,791,639
"SLC2A5",6,2,3,52,39,97,296,501,251,154
"SLC2A6",9,11,10,51,81,182,249,173,89,111
"SLC2A7",0,0,0,0,0,0,1,0,1,2
"SLC2A8",67,78,67,220,175,184,239,272,261,246
"SLC2A9",8,9,7,77,61,192,167,126,206,216
"SLC30A1",77,93,69,189,403,511,581,261,588,1127
"SLC30A10",2,3,0,12,18,6,0,15,3,42
"SLC30A2",929,599,549,579,245,39,2,20,17,5
"SLC30A3",1,1,0,1,0,6,4,4,10,4
"SLC30A4",9,24,15,54,92,126,107,65,167,114
"SLC30A5",258,329,263,823,1010,1175,972,1126,1524,1768
"SLC30A6",215,211,188,536,642,917,1054,693,867,968
"SLC30A7",85,131,112,495,571,859,1332,625,1114,990
"SLC30A8",191,226,143,2000,1795,1681,0,111,296,0
"SLC30A9",460,512,559,1371,1550,1374,2118,1605,1727,1774
"SLC31A1",372,395,259,670,861,938,1428,1434,1250,2106
"SLC31A2",119,128,114,394,302,569,900,593,900,582
"SLC32A1",1,0,0,0,0,0,0,0,0,0
"SLC33A1",318,451,462,843,646,841,863,502,604,1472
"SLC34A1",0,0,0,0,0,1,3,0,1,0
"SLC34A2",65,37,60,513,638,601,712,425,10,745
"SLC34A3",0,1,0,2,1,1,1,3,1,1
"SLC35A1",148,161,142,615,720,953,1429,879,815,1023
"SLC35A2",121,147,116,326,351,760,861,858,800,932
"SLC35A3",177,165,186,555,602,841,1184,986,832,1481
"SLC35A4",178,226,176,682,911,1141,905,906,1196,1162
"SLC35A5",140,180,184,688,729,1094,1138,849,912,1125
"SLC35B1",207,211,218,648,692,739,739,1405,695,2179
"SLC35B2",375,297,284,757,789,1358,1560,1489,1213,1394
"SLC35B3",193,220,199,539,503,582,664,553,772,741
"SLC35B4",43,51,44,303,323,559,432,361,616,437
"SLC35C1",104,101,89,345,401,639,823,906,927,1123
"SLC35C2",234,211,237,662,625,988,928,882,935,938
"SLC35D1",97,154,155,324,503,560,865,370,755,979
"SLC35D2",159,219,146,390,662,463,587,596,655,748
"SLC35D3",0,0,0,2,13,0,69,2,13,0
"SLC35E1",310,422,372,730,947,1071,1403,1431,1088,1893
"SLC35E2",58,24,38,137,102,131,140,182,109,86
"SLC35E2B",127,213,146,456,737,721,498,464,941,625
"SLC35E3",43,63,71,145,157,237,246,126,282,253
"SLC35E4",8,13,11,36,63,81,138,58,71,352
"SLC35F1",11,4,8,19,53,40,16,15,39,37
"SLC35F2",39,33,44,200,172,296,700,653,167,304
"SLC35F3",25,24,27,68,64,48,87,16,13,20
"SLC35F4",0,1,1,8,1,7,3,3,1,3
"SLC35F5",271,320,302,887,1008,1886,1645,1582,1135,1699
"SLC35F6",99,92,95,394,411,650,610,544,909,953
"SLC35G1",70,42,50,61,51,31,42,91,32,72
"SLC35G2",46,24,29,130,179,293,141,105,154,103
"SLC35G3",1,0,1,0,0,0,0,0,0,0
"SLC35G4P",0,0,0,2,0,0,0,0,0,0
"SLC35G5",0,0,0,0,1,0,1,0,1,0
"SLC35G6",0,0,0,1,0,0,0,0,0,0
"SLC36A1",56,36,40,367,265,912,555,1207,765,732
"SLC36A2",0,0,0,0,0,0,1,3,2,0
"SLC36A3",0,0,0,0,0,1,0,1,0,1
"SLC36A4",31,23,37,99,155,145,269,141,204,167
"SLC37A1",33,31,24,270,304,498,478,415,610,836
"SLC37A2",38,27,18,422,264,812,637,287,861,851
"SLC37A3",221,277,269,705,805,1179,998,902,899,1020
"SLC37A4",333,382,347,988,654,450,538,734,351,556
"SLC38A1",512,311,562,1476,1554,3109,2904,1659,2113,1276
"SLC38A10",1017,1289,1012,2011,2483,2991,1937,1838,3124,2670
"SLC38A11",7,5,9,44,69,71,12,17,9,51
"SLC38A2",630,666,648,2774,3057,3948,5114,3204,5449,2975
"SLC38A3",227,273,334,395,169,47,0,6,2,2
"SLC38A4",196,23,87,146,64,46,181,33,57,16
"SLC38A5",1258,998,1061,761,677,29,1280,268,256,1116
"SLC38A6",22,24,26,222,151,219,333,287,313,386
"SLC38A7",33,26,22,102,101,243,234,158,310,289
"SLC38A8",0,0,1,2,0,1,1,1,1,0
"SLC38A9",79,97,92,222,225,303,297,213,317,309
"SLC39A1",364,318,298,1800,1946,3288,2984,3545,3364,5136
"SLC39A10",76,56,69,607,644,1219,1383,1463,1048,1106
"SLC39A11",224,236,229,503,482,1606,893,1052,711,942
"SLC39A12",0,0,0,0,1,2,3,0,2,0
"SLC39A13",114,141,127,613,545,1097,1249,1166,1058,972
"SLC39A14",3780,6047,3979,4224,4154,2057,3122,2071,2086,7756
"SLC39A2",0,0,0,5,11,0,0,0,3,5
"SLC39A3",95,97,106,247,310,359,354,397,399,353
"SLC39A4",37,61,47,155,209,441,947,363,320,2018
"SLC39A5",1749,1712,1655,826,694,59,89,158,66,368
"SLC39A6",359,323,358,4237,1441,1701,2102,1117,1963,1760
"SLC39A7",0,0,0,0,0,0,0,0,0,0
"SLC39A8",1159,925,1059,1094,1064,322,742,512,735,924
"SLC39A9",502,556,497,1330,1701,2385,2950,1985,1614,2495
"SLC3A1",930,1711,1355,6652,2995,3122,1451,513,282,755
"SLC3A2",426,315,393,1637,1144,1810,1746,2114,2219,2903
"SLC40A1",1031,1031,1055,4799,7733,6086,11475,6136,6537,12976
"SLC41A1",609,742,824,915,1006,859,487,366,739,791
"SLC41A2",113,115,111,413,544,803,1015,466,500,1242
"SLC41A3",180,240,225,916,772,971,486,869,833,796
"SLC43A1",2162,1590,1701,1213,1117,203,169,121,264,147
"SLC43A2",69,62,58,347,502,700,531,362,1197,985
"SLC43A3",67,102,124,757,765,1239,1334,936,1301,1068
"SLC44A1",356,427,290,1443,2097,4023,4546,5889,4153,5382
"SLC44A2",270,339,380,1865,1831,2505,3395,1970,2806,1901
"SLC44A3",142,509,278,1243,926,840,1080,695,430,632
"SLC44A4",0,0,0,0,0,0,0,1,0,0
"SLC44A5",6,31,11,25,25,20,6,75,4,2
"SLC45A1",3,1,1,19,38,52,34,65,49,29
"SLC45A2",0,0,1,3,1,0,3,2,3,2
"SLC45A3",8,16,11,106,404,537,524,179,420,1377
"SLC45A4",47,63,73,188,223,273,220,295,321,292
"SLC46A1",247,262,240,720,898,762,546,763,754,616
"SLC46A2",2,0,1,4,11,15,11,5,8,14
"SLC46A3",111,89,98,586,527,1239,1122,1164,1270,1066
"SLC47A1",1,3,5,126,25,119,112,21,179,200
"SLC47A2",0,1,1,1,5,1,0,1,0,1
"SLC48A1",85,113,104,285,321,350,194,272,337,239
"SLC4A1",0,0,0,0,2,0,1,0,0,0
"SLC4A10",9,20,10,189,191,61,8,6,24,11
"SLC4A11",0,1,2,8,52,176,82,95,224,381
"SLC4A1AP",202,197,178,561,484,889,810,527,612,656
"SLC4A2",734,575,555,1191,1260,2215,1948,1991,1837,1807
"SLC4A3",20,11,13,57,81,89,117,62,130,87
"SLC4A4",3013,3592,4907,10838,8120,2847,312,904,287,891
"SLC4A5",36,25,40,94,64,73,50,69,105,90
"SLC4A7",35,17,27,462,639,660,836,512,1124,689
"SLC4A8",12,22,14,79,136,192,56,49,78,85
"SLC4A9",1,0,0,0,1,1,1,2,0,5
"SLC50A1",252,287,268,521,647,774,958,1171,729,2062
"SLC51A",2,2,1,18,8,21,5,30,7,8
"SLC51B",6,1,1,12,19,19,4,54,15,17
